ID,Habitat,Lampyridae,Cecidomyiida,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Ephydridae,Sciomyzidae,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Scelionidae,Ichneumonida,Mymaridae,Libellulidae,Lestidae,Coenagrionid,Hydroptilida,Leptoceridae,Polycentropo,Phryganeidae,Limnephilida,Cosmopterigi,Crambidae
IN1,Invaded,1,1,0,13,115,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,1,0,3,0,0
IN2,Invaded,0,1,1,0,40,44,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,2,0,23,0,4,0,0,0,0,0
IN3,Invaded,0,0,7,8,167,4,0,0,2,0,2,0,9,7,0,0,0,1,1,0,0,0,2,17,0,0,1,1,1,0,0
IN4,Invaded,0,1,1,21,530,3,0,8,2,0,0,0,2,3,0,1,0,2,1,0,0,9,1,17,0,4,0,0,13,0,1
IN5,Invaded,2,0,11,1,93,61,2,0,2,0,3,0,0,0,0,1,1,3,2,0,0,7,1,62,1,3,0,1,4,0,0
IN6,Invaded,0,0,2,2,109,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,12,0,10,5,3,0,0,2,0,0
IN7,Invaded,0,1,4,0,120,56,9,0,13,0,0,0,4,2,0,1,1,0,0,0,0,4,2,30,0,5,0,2,17,1,0
IN8,Invaded,2,0,0,0,385,11,0,0,10,0,1,0,0,0,1,0,0,0,0,1,0,7,0,30,6,0,0,0,17,0,0
RES1,Treated,0,0,0,1196,1157,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1
RES2,Treated,0,0,0,125,2783,0,0,0,14,2,0,0,1,0,0,1,1,1,1,0,1,5,2,6,203,40,1,0,0,0,13
RES3,Treated,0,0,0,25,1746,0,1,0,1,0,0,5,2,0,0,2,1,0,0,0,1,0,1,3,3,15,4,0,0,0,4
RES4,Treated,0,0,0,9,1320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,3,0,3,0,0,2
RES5,Treated,0,0,0,14,1951,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,37,0,0,0,0,0
RES6,Treated,0,0,1,11,2532,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4,3,26,7,8,0,0,1
RES7,Treated,0,0,0,40,1888,0,0,0,0,1,2,0,0,0,0,4,0,0,0,1,1,1,0,0,4,67,3,2,1,0,0
RES8,Treated,0,0,0,15,1212,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,2,3,0,0,0,0,0
RESOW,Treated,0,0,0,2,261,0,0,0,4,0,0,16,0,0,0,3,0,0,0,1,0,0,0,0,12,4,2,0,0,0,0
UNM1,Uninvaded,3,0,0,80,1044,0,0,0,10,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,1,1,1,1,0,1
UNM2,Uninvaded,0,0,0,25,176,0,0,0,2,0,0,0,0,0,0,0,0,1,5,1,0,0,2,0,0,4,0,0,0,0,0
UNM3,Uninvaded,1,0,0,9,43,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0
UNM4,Uninvaded,1,0,0,45,35,0,0,0,22,0,1,0,0,0,3,1,4,1,3,1,0,0,0,0,1,0,0,0,0,0,1
UNM5,Uninvaded,6,0,0,23,70,0,0,0,3,1,1,0,1,3,1,3,0,1,0,0,2,0,0,0,1,1,0,1,3,0,0
UNM6,Uninvaded,3,1,0,14,339,0,0,0,6,0,0,0,8,4,0,0,4,3,2,0,0,1,1,29,0,1,3,1,0,0,0
UNT1,Uninvaded,0,0,0,12,131,45,0,0,0,0,0,0,0,4,4,0,1,4,0,0,0,0,1,7,0,2,0,1,15,40,0
UNT2,Uninvaded,0,1,0,1,60,10,0,0,1,0,1,0,0,6,1,0,0,15,0,0,0,0,1,0,2,0,0,1,0,2,0
