ID,Treatment,Year,N,Araneae,Acari,Curculionidae,Staphylinidae,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagidae,Latridiidae,Phalacridae,Hydrophilidae,Scirtidae,Coccinellidae,Lampyridae,Chrysomelidae,Scraptiidae,Cantharidae,Nitidulidae,Corylophidae,Ptiliidae,Anthicidaelarvae,Coccinellidae Larvae,Erotylidae Larvae,Nitidulidae Larvae,Collembola,Axymyiidae,Cecidomyiidae,Sciaridae,Scatopsidae,Mycetophilidae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Psychodidae,Canacidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Chamaemyiidae,Agromyzidae,Anthomyzidae,Sepsidae,Drosophilidae,Muscidae,Anthomyiidae,Calliphoridae,Scathophagidae,Tachinidae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Baetidae,Ephemerellidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Megaspilidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Pompilidae,Formicidae,Diapriidae,Sphecidae,Crabronidae,Eurytomidae ,Mymaridae,Encyrtidae,Halictidae,Eupelmidae,Chrysididae,Figitidae,Tenthredinidae,Trichogrammatidae,Aphididae,Cicadellidae,Anthocoridae,Hydrometridae,Miridae,Saldidae,Coccoidea,Corydalidae,Hemerobiidae,Sisyridae,Libellulidae,Corduliidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Molannidae,Polycentropodidae,Phryganeidae,Limnephilidae,Psocoptera,Rhaphidophoridae,Cosmopterigidae,Gelechiidae,"Batrachedridae, Cosmopterigidae, Coleophoridae(Momphinae)",Bucculatricidae,Gracillariidae,Noctuidae,Crambidae,Nymphalidae,Hesperiidae
IN1,Invaded,2017,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,129,1,0,10,0,0,0,10,0,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
IN2,Invaded,2017,4,23,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,114,2,0,17,0,2,0,3,3,0,2,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN3,Invaded,2017,4,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,53,0,0,6,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN4,Invaded,2017,3,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,186,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN5,Invaded,2017,4,18,11,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,413,3,0,4,0,0,0,4,1,0,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,11,0,1,0,0,0,161,0,2,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IN6,Invaded,2017,4,9,29,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,84,4,0,13,0,0,0,7,3,0,0,1,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,8,0,0,2,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
IN7,Invaded,2017,4,21,0,0,0,0,1,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,74,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,3,28,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IN8,Invaded,2017,4,26,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,73,4,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,462,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
INOW,Invaded,2017,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN1,Invaded,2018,6,15,0,0,0,1,13,0,4,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,1,0,2,0,1,0,0,0,1,13,212,1,0,0,0,0,0,7,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15,7,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
